deviceNum,type,username,password
1,wifi-password,,myWifiPassword
2,user-credentials,Billy_Joel,Vienna44
3,user-credentials,Billy_Joel,Vienna44
4,user-credentials,Stevie_Nicks,Everywh3r3
5,user-credentials,Kate_Bush,BigHill
6,user-credentials,Billy_Joel,Vienna44
7,user-credentials,Kate_Bush,BigHill
8,user-credentials,Billy_Joel,Vienna44
9,user-credentials,James_Blunt,123WiseMen
10,oauth-login,Kate_Bush,BigHill
11,user-credentials,Billy_Joel,Vienna44
12,user-credentials,Jeff_Buckley,Hall3luj3h
